年份,领域大类,关键词,论文标题,作者,论文链接,项目链接
2021,"并行与分布式系统,系统安全与隐私,数据库系统","拜占庭容错,数据库事务,分布式协议",Basil: Breaking up BFT with ACID (transactions),"Florian Suri-Payer, Cornell University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483552,https://github.com/fsuri/SOSP21_artifact_eval
2021,"并行与分布式系统,系统安全与隐私,数据中心系统,网络系统","区块链,拜占庭容错","BIDL: A High-throughput, Low-latency Permissioned Blockchain Framework for Datacenter Networks","Ji Qi, the University of Hong Kong; et al.",https://dl.acm.org/doi/10.1145/3477132.3483574,https://github.com/hku-systems/bidl
2021,"并行与分布式系统,网络系统","拜占庭容错,区块链",Kauri: Scalable BFT Consensus with Pipelined Tree-Based Dissemination and Aggregation,"Ray Neiheiser, U. Lisboa & UFSC/DAS; et al.",https://dl.acm.org/doi/10.1145/3477132.3483584,https://github.com/Raycoms/Kauri-Public
2021,"软件测试,程序语言与编译器","程序分析,并发安全,GPU",iGUARD: In-GPU Advanced Race Detection,"Aditya K. Kamath, Indian Institute of Science; et al.",https://dl.acm.org/doi/10.1145/3477132.3483545,https://github.com/csl-iisc/iGUARD
2021,"软件测试,系统安全与隐私,操作系统","程序分析,并发安全",Snowboard: Finding Kernel Concurrency Bugs through Systematic Inter-thread Communication Analysis,"Sishuai Gong, Purdue University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483549,https://github.com/rssys/snowboard
2021,"软件测试,系统安全与隐私,程序语言与编译器","程序分析,内存安全,Rust",Rudra: Finding Memory Safety Bugs in Rust at the Ecosystem Scale,"Yechan Bae, Georgia Institute of Technology; et al.",https://dl.acm.org/doi/10.1145/3477132.3483570,https://github.com/sslab-gatech/Rudra-Artifacts
2021,"软件测试,系统安全与隐私","程序分析,非易失性内存,崩溃一致性",Witcher: Systematic Crash Consistency Testing for Non-Volatile Memory Key-Value Stores,"Xinwei Fu, Virginia Tech; et al.",https://dl.acm.org/doi/10.1145/3477132.3483556,https://github.com/cosmoss-vt/witcher
2021,软件测试,程序分析,Understanding and Detecting Software Upgrade Failures in Distributed Systems,"Yongle Zhang, Purdue University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483577,https://github.com/zlab-purdue/ds-upgrade
2021,文件和存储系统,"崩溃一致性,SSD",Crash Consistent Non-Volatile Memory Express,"Xiaojian Liao, Tsinghua University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483592,https://github.com/thustorage/ccnvme
2021,数据库系统,数据库事务,Regular Sequential Serializability and Regular Sequential Consistency,"Jeffrey Helt, Princeton University; et al.",https://dl.acm.org/doi/10.1145/3477132.3483566,https://github.com/jmhelt/tapir/tree/spanner
